Landgrabbed;Landgrabber;Base;Sector;Hectares;Production;Projected investment;Status of deal;Summary
Algeria;AlQudra;UAE;Finance,realestate;31000.0;Milk,oliveoil,potatoes;Missing;Done;AlQudraHoldingisajoint-stockcompanyestablishedinAbuDhabiin2005.InFebruary2008,thecompanytoldLeMatinthatithadacquiredconcessionscovering31,000haofagriculturallandsinAlgeriawhereitintendstoproducepotatoes,olivesanddairy.ItalsosaidthatitwasplanningtosetupajointventurewithMoroccaninvestorstoproduceoliveoilon14,000hainMorocco.InSeptember2009,TheNationalreportedthatAlQudrawasconsideringbuyinglandinPakistan,Syria,Vietnam,SudanandIndiatoincreaseitslandholdingsto400,000ha.
Angola;CAMCEngineeringCo.Ltd;China;Construction;1500.0;Rice;US$77million;Done;CAMCEisasubsidiaryoftheChinaNationalMachineryIndustryCorporation.InApril2011,theAngolanPressAgencyreportedthattheAngolangovernmenthadapprovedCAMCE'sproposedprojecttoconstructaricemillinLongaandestablisha1,500-hapilotricefarminthearea.ChinaNationalDevelopmentBankwillbeprovidingCAMCEwithacreditlinefortheproject.
Angola;ENI;Italy;Energy;12000.0;Oilpalm;Missing;Inprocess;TheprojectisajointventurebetweenSonangol,anAngolanstate-owedcompanyresponsiblefortheexploration,productionandtransportationofhydrocarbonsinAngola,andENI,oneoftheworld'slargestoilcompanies.InDecember2011,thetwocompaniessignedanagreementfortheexecutionofapilotprojectinfoodandbiodieselproduction.
Angola;AfriAgro;Portugal;Finance,realestate;5000.0;Oilpalm;US$30-35million;Done;AfriAgroisasubsidiaryofthePortugal-basedAtlanticaGroup.Thecompanyacquireda50-yearleaseon5,000haoflandnearthecityofAmbrizinBengoProvince,Mozambique.Itintendstoexpandto20,000ha.
Angola;EuricoFerreira;Portugal;Energy,telecommunications;30000.0;Sugarcane;US$200million;Done;In2008,PortugueseconglomerateEuricoFerreira'srenewableenergysubsidiary,Proef,announcedthatitwaspursuingaUS$200-million,30,000-hasugar-caneprojectintheZaireProvinceofnorthernAngola.
Angola;QuifelNaturalResources;Portugal;Agribusiness,energy;10000.0;Oilseed;Missing;Done;QuifelNaturalResourcesispartofPortugal'sQuifelGroup,aholdingcompanycontrolledbyPortuguesearistocrat,businessmanandamateurracecardriverMiguelMariadeSáPaisdoAmaral,whichisinvolvedinmultiplesectors,frominsuranceandrealestatetoagricultureandenergy.Quifelbeganinvestinginfarmlandthroughthedevelopmentofpalm-oilproductioninBrazil.WithlandpricesrisinginBrazil,thecompanyturneditsattentiontoAfricain2007,whereitdecidedtofocusonacquiringlargelandconcessionsincoastalEastAfricancountriesforoilseedsandWestAfricancountriesforfruitandvegetables.SofarQuifelhasacquiredlandinMozambique,AngolaandSierraLeone.InAngolaithasaconcessionfor10,000hawithafurther30,000haawaitinggovernmentapproval.
Angola;Lonrho;UK;Agribusiness;25000.0;Rice;Missing;Done(50-yrlease);In2005,allthatremainedofLonrho,onceoneofthelargestforeigncompaniesinAfrica,wasahotelinMozambiqueand£20millionincash.ThenDavidLenigasbecamethenewCEOand,withthesupportofthechairmanGeoffreyWhite,anadvisertoQatariemirSheikhKhalifaAlThani,LonhrolaunchedanewwaveofinvestmentsinAfrica.Thecompanytookoverhotels,airlinesandinfrastructure,butitsfocusisagribusiness.ItnowexportsfishfromMozambiqueandrunsaverticallyintegratedsubsidiarythatgrowsproduceonfarmsinsouthernAfricaforexporttoEuropeansupermarkets.Lonrhohasrecentlybeenexpandingitsagriculturallandholdings.In2009,itacquireda50-yearleasefor25,000haoffarmlandinAngola,andcommencedfeasibilitystudiesfor25,000haofagriculturallandinMalawiandupto100,000hainMali.Whitesaysthatthecompanywillfocusonhorticulture.“Wedon’tthinkthere’sriskinnon-cerealfarming.Ifthere’safamine,peoplewon’tcomeafterourgreenpeppers.”
Argentina;GrupoMaggi;Brazil;Agribusiness;7000.0;Soybeans;Missing;Done;GrupoMaggi,controlledbyBlairoMaggi,oneoftheworld'slargestsoybeanproducers,witharound200,000haunderproductioninBrazil,disclosedtoValorEconómicoin2011thatitwouldbeexpandingoutsideBrazil,beginningwith7,000hainArgentinain2011,andlookingforopportunitiesinAfricaandColombia.
Argentina;Beidahuang;China;Agribusiness;320000.0;Maize,soybeans,wheat;US$1,500million;Suspended;State-ownedBeidahuangisthelargestfarmingcompanyinChina,managingover2millionhaoffarmlandintheProvinceofHeilongjiang.Since2008,thecompanyhasbeenexpandingitsfarmingoperationsoverseas.In2010,duringavisittoChina,thegovernorofArgentina'sRíoNegroprovincesignedaUS$1.4-milliondealwithBeidahuangthatwouldgivethecompanyexclusivecontroloverthesupplyofsoybeans,maizeandothercropsfor20yearsfromfarmscoveringanareaofupto320,000ha.InNovember2011,thesuperiorcourtoftheProvinceofRíoNegroruledthattheprojectshouldbesuspended,andtherehasbeennopublicinformationonthestatusofthedealsubsequenttoachangeintheprovincialgovernmentinDecember2011.Meanwhile,Beidahuangsignedanagreementin2011withCresud,thelargestfarmingcompanyinArgentina,tocollaborateontheacquisitionoffarmland,mainlyforsoybeanproduction,anditcontinuestopursuelanddealsinthePhilippinesandAustralia.
Argentina;InglebyCompany;Denmark;Finance;12433.0;Barley,maize,soybeans,sunflower,wheat;Missing;Done;TheInglebyCompany,whichisownedbytheRausingfamily,hasfarmlandinvestmentsinArgentina,Romania,USA,Uruguay,NewZealandandAustralia.
Argentina;AgroGeneration;France;Agribusiness;1700.0;Crops;Missing;Done;AgroGenerationisaFrenchfarmlandinvestmentfundcreatedbybusinessmanCharlesBeigbeder.Ithas50,000haoffarmlandunderleaseinUkraineandsaysitplanstodoublethisamountby2014.In2011,thecompanysaiditwaspursuingtheacquisitionof50,000haoffarmlandinArgentinawithanunnamedpartnerfollowingthecompletionoftrialson700ha.
Argentina;CalyxAgro;France;Finance;5719.0;Crops(mainlysoybean);Missing;Done;CalyxAgrowasestablishedbyLouisDreyfusCommoditiesasafundtopurchaseandturnoverfarmlandintheSouthernConeofLatinAmerica.OtherkeyinvestorsarePineBridgeInvestments(subsidiaryoftheHongKong-basedPacificCenturyGroup),TRGManagement,WorldstarLtd,PictetPrivateEquityInvestorsandSolviaInvestmentManagement.In2011,theWorldBank'sInternationalFinanceCorporationrejectedanapplicationfromCalyxAgrotofinanceitsactivities.
Argentina;CamposOrientales;France;Finance;19000.0;Missing;Missing;Done;CamposOrientalesisoperatedbyPergamFinance,afundbasedinFrance,managedbyOlivierCombastet.ItacquiresfarmsintheSouthernConeofLatinAmerica,whereitcanconvertpasturetosoybeancrops,andthen,withinafewyears,sellthefarmsataprofit.
Argentina;TerraMagnaCapital;France;Finance;70500.0;Crops;Missing;Done;TerraMagnaCapitalisaLuxembourg-basedfundcreatedbythefarmlandinvestmentboutiqueMaeraCapitaloftheUKandMassenaPartners,aParisandGeneva-basedfirmthatmanagesinvestmentsforwealthyfamilies.InNovember2011,TerraMagnaannouncedthataftertwoyearsoflookingithaddecidedtopurchase15farmsinArgentina,Brazil,ParaguayandUruguay,coveringatotalareaof70,500ha.Themanagementofthefarmswillbehandledbyoneoftheregion'slargestfarmlandowners/operators--MSU,thecompanyofArgentinebusinessmanManuelSantosUribelarrea.
Argentina;DWSGALOF;Germany;Finance;20000.0;Crops;Missing;Done;TheDWSGALOFfundisofferedbyDeutscheBankbuttheday-to-daymanagementofthefundisdelegatedtoDuxtonAssetManagementbasedinSingapore.Itwaslaunchedin2007,witharunningtimeuntil2016,andassetsof€110million.
Argentina;Sojitz;Japan;Industrial;11000.0;Soybeansandothercrops;Missing;Inprocess;In2011,Japan'sSojitzCorporationestablishedasubsidiary,SojitzBuenasTierradelSur,toproducestaplecropsforexporttoJapan.Itsaysitwillconsiderexpandingtheareaundercultivationto200,000hainArgentina,BrazilandotherSouthAmericancountriesby2017,withstate-backedNipponExportandInvestmentInsuranceprovidingriskinsurance.
